score_rrf,score_bm25,score_dense,id_projeto,titulo,situacao,is_stem,unidade_lista,palavra_chave_1,palavra_chave_2,palavra_chave_3,palavra_chave_4,resumo
0.03047794966520434,39.679484219608156,0.89779603,4910,"GIRLS - Gênero, Inclusão, Resiliência e Liderança em STEM",Ativo,True,Departamento de Informática,Gênero,Inclusão,Engenharia,STEM,"A concepção deste projeto foi motivada a partir de lacunas e oportunidades observadas na sociedade a fim de contribuir com a inclusão e equidade de gênero nas áreas de Ciência, Tecnologia, Engenharia e Matemática (STEM). De acordo com o Censo da Educação Superior de 2022, as mulheres representavam 60,3% dos concluintes em cursos presenciais de graduação no Brasil. No entanto, nas áreas de Ciências, Tecnologia, Engenharias e Matemática, essa participação era de apenas 22%. Há uma notável diferença de gênero nas áreas de STEM, com lacunas na educação e nas carreiras profissionais em quase todos os países do mundo, sendo observadas em todas as fases do ciclo de vida, desde a escola primária até posições de trabalho. 
Assim, este projeto propõe promover maior inclusão e equidade de gênero nas áreas STEM a partir da (i) criação de um espaço de convivência e acolhimento, (ii) apoio a projetos de pesquisa e extensão, (iii) disseminação de dados e práticas e (iv) realização de ações.  "
0.030117753623188408,48.95075677994699,0.87116873,2877,Combate à violência obstétrica por meio do empoderamento feminino,Suspenso,False,Departamento de Farmácia e Nutrição,mulher,violência obstétrica,empoderamento,gestação,"A violência obstétrica (VO) consiste em intervenções que ocorrem antes, durante ou logo após o parto que tiram o protagonismo feminino, violam seus direitos e podem gerar traumas que afetam diversos âmbitos da vida da mulher, interferindo na sua saúde mental e sexual, além de prejudicar o aleitamento materno, podendo ocasionar um desmame precoce. Conhecendo a dimensão dos danos causados, percebe-se a importância do empoderamento, haja vista que é dele que surge a noção de seus direitos. Os objetivos deste projeto são instruir mulheres sobre a VO; incentivar o empoderamento feminino; apoiar o aleitamento materno. O projeto contará com ações nas UBS e na maternidade do município, visando empoderar mulheres, debater a desigualdade entre gêneros e aumentar o conhecimento acerca desta temática. Assim, espera-se como resultados a redução do número de casos de VO, conscientizar gestantes sobre o assunto e promover empoderamento feminino."
0.029857397504456328,45.604296288380205,0.8712995,2927,Inclusão e Permanência de Meninas na Engenharia - uma iniciativa do PET Elétrica,Concluído,True,Departamento de Engenharia Elétrica,inclusão,engenharia,diversidade de gênero,mulheres na engenharia,"Atualmente, é de suma importância que se discuta diversidade e inclusão nos cursos de engenharia. Podemos citar como exemplo, o fato de que no curso de engenharia elétrica da UFES, o número de mulheres ingressantes é muito pequeno: faz-se necessário promover discussões a respeito  da inserção e permanência de mulheres no curso e no PET e o combate ao machismo enraizado no curso. 
A Universidade como formadora de cidadãos tem a oportunidade de inserir esses temas para discussão no meio acadêmico, de forma a minimizar e combater preconceitos, e é neste sentido que este projeto se baseia.
"
0.02946236559139785,37.36245403533028,0.8909321,4749,Meninas na Engenharia: Explorando a Ciência e Inspirando as Líderes do Amanhã,Ativo,True,Departamento de Engenharia Civil,Meninas na Engenharia,STEM,Ensino médio e superior,Igualdade de gênero,"Ao longo da história, a presença feminina na ciência tem sido limitada. Segundo dados da Unesco, do total de estudantes matriculados em cursos de Ciência, Tecnologia, Engenharias e Matemática (STEM) no mundo, somente 35% são mulheres. No Brasil, embora as mulheres sejam maioria no ensino superior, essa predominância não se traduz em uma representação significativa nas carreiras científicas. Nas ciências exatas, engenharias e computação, a participação feminina continua sendo pouco expressiva.
Dentro desse contexto, o objetivo geral deste projeto de extensão é compreender a relação das meninas do ensino médio da grande Vitória com as ciências exatas para ser possível traçar e implementar ações de incentivo ao ingresso e a permanência dessas meninas no ensino superior de engenharia. Este projeto de extensão faz parte de um projeto de pesquisa em rede, de mesmo título, aprovado no Edital CNPq 31/2023.    
"
0.0293236301369863,38.82493386990847,0.8756847,3311,Projeto de Extensão CODEGATAS,Ativo,True,Departamento de Computação,Mulheres na Computação,Inclusão Digital,Capacitação ,Tecnologia ,"Segundo a pesquisa sobre estatísticas de gênero – Indicadores sociais das mulheres no Brasil, realizado pelo IBGE em 2019, do total de estudantes matriculados nos cursos superiores no brasil, na área de computação e tecnologia de informação, apenas 13,3 % são mulheres. 
Provavelmente, quando falamos em tecnologia e computação, nomes como Bill Gates, Elon Musk e Steve Jobs que vem a sua cabeça. Embora tenhamos relevância na história da computação não temos o nosso lugar de reconhecimento na área.
O objetivo do projeto é acolher as estudantes dos cursos de Ciência da Computação e Sistemas de Informação do CCENS/UFES formando um grupo para conhecer a história das mulheres na computação, mostrar que somos capazes de assumir um papel de protagonismo e capacitá-las para apresentar o papel das mulheres na computação nas escolas da região para incentivar as meninas a virem para a área de computação. 
"
0.026984126984126985,53.96898826767555,0.8601122,5412,Festival Feminista de Mulheres Estudantes da UFES,Aguardando envio de relatório,False,Pró-Reitoria de Extensão,Festival,Mulheres Estudantes,Gênero,Formação,"O Festival constitui-se como uma ação extensionista de caráter político-formativo, cultural e institucional, voltada à promoção dos direitos das mulheres, ao fortalecimento dos feminismos e à valorização das trajetórias de mulheres que se destacaram no Espírito Santo na luta por equidade de gênero, compromisso com a emancipação humana das mulheres, democracia e direitos humanos. Durante o evento, vinculado ao Programa do Núcleo Impulsor de Políticas para Mulheres da Universidade Federal do Espírito Santo – “Mulheres na UFES”, será realizada a entrega da Menção Honrosa ""Cida Barreto"", em reconhecimento a mulheres que contribuíram de forma significativa para o avanço das pautas feministas no Espírito Santo. As atividades serão realizadas nos espaços do Prédio Paulo Freire (antigo IC IV) e do Prédio PPGE/UFES."
0.025837770122142185,54.225482698505495,0.8576398,2257,Diálogos sobre o feminino,Inadimplente,False,Departamento de Biologia,Mulher,Aspecto social,Aspecto econômico,Aspecto político,"Pretende-se realizar lives com representantes de diversas áreas do campo social, político e educacional para debater temas relacionados a questão da mulher. Dentre os temas pretende-se abordar leis, pacote anticrime de violência contra a mulher, violência patrimonial, violência obstétrica, encarceramento de mulheres, relação abusiva, racismo, etc. Todos os temas deverão ser retratados no âmbito político, econômico e social. As mortes de mulheres por feminicídio abre uma demanda de discussão sobre temas do universo feminino. A demanda por novos espaços de discussão é cresccente e o momento é propício. Verifica-se no tocante ao femicídio uma inflexão significativa frente as falas de ministros do supremo sobre a questão. Portanto, é preponderante que a academia participe do debate no que tange a questão feminina. Espera-se contribuir de forma significativa ao falar de questões tão sérias invisibilizadas ou até mesmo naturalizadas na nossa sociedade."
0.025503573749187783,36.17941569920228,0.86384875,2460,I CONGRESSO ESPÍRITO SANTENCE DE DIVERSIDADE DE GÊNERO,Concluído,False,Departamento de Ginecologia e Obstetricia,Pessoas Transgênero, Adequação Sexual,Diversidade de Gênero,,"Discutir a saúde da população LGBTT é fundamental nos dias de hoje, onde as liberdades de expressão e de gênero estão encontram-se em íntimo contato com os serviços de saúde, com demandas específicas e propostas terapêuticas especializadas. Visto isso, faz-se necessários que profissionais de saúde e todos os profissionais envolvidos no atendimento a esta população, especialmente à população transgênero, estejam capacitados para poder fornecer o atendimento equalitário, universal e integral, conforme princípios do nosso sistema de saúde. Esta capacitação abrange desde acolhimento com o correto uso do nome social e conhecimento dos direitos adquiridos desta população até diagnóstico, propedêutica e tratamento de patologias gerais ou específicas deste grupo.
Objetivo geral: discutir e fomentar conhecimento científico acerca da população transgênero, capacitando profissionais de saúde, de recepção, gestores e estudante na melhor condução clínica e terapêutica para atendimento .
"
0.02512945476698142,45.39385007504638,0.85897094,3836,MulherES na Computação,Concluído,True,Departamento de Informática,Computação,Mulher,Gênero,Estado do Espírito Santo,"A concepção desse projeto foi motivada a partir de lacunas e oportunidades observadas na sociedade para acompanhar a era digital e visa analisar e estimular a participação das mulheres nos cursos de computação no Estado do Espírito Santo. De acordo com o Censo da Educação Superior de 2020, as mulheres correspondem a 12% das matrículas nos cursos da área de TI no Espírito Santo, bem menor do que a média geral de participação feminina em cursos de graduação no país, em torno de 39%. Assim, o projeto MulherES na Computação se propõe a (i) coletar dados sobre a participação das mulheres nos cursos de computação no ES, (ii) produzir análises estatísticas sobre o tema e (iii) realizar ações para estimular a participação das mulheres na área da computação. Além disso, pretende-se indiretamente contribuir para a economia do Espírito Santo, uma vez que a metade da população do estado é do gênero feminino e a área de TI conta com grande déficit de profissionais."
0.02501906941266209,40.65938884999413,0.85965735,597,AMBULATÓRIO MULTIDISCIPLINAR DE DIVERSIDADE DE GÊNERO,Ativo,False,Departamento de Ginecologia e Obstetricia,Pessoas Transgênero,Identidade de Gênero,Doenças Transmissíveis.,," Desde o século XIX, o gênero está associado à genitália. Porém, o ser mulher ou o ser homem não são experiências fixadas pela natureza e tampouco são consequências apenas de normas sociais. Assim, as performances de gênero assumem a função de reproduzir homens/mulheres “de verdade”, no desejo de uma legitimidade do gênero. É sob essa ótica que estão pautadas as transformações do corpo, que podem incluir o uso de hormônios sexuais e procedimentos cirúrgicos. Tem-se elevada vulnerabilidade social e risco aumentado de sofrimento de todos os tipos de violência. Isso inclui a alta prevalência de suicídio, de abuso de substâncias psicotrópicas, de uso indiscriminado de hormônios, de doenças sexualmente transmissíveis e de desemprego. A Portaria nº 2.836, de 1º de dezembro de 2011 reconhece que a orientação sexual e a identidade de gênero estão implicadas no processo saúde-doença da população e busca desenvolver ações transversais na área da saúde voltadas a essa população específica."
